frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
142,1,box,VISIBLE,140,0,0.5171,221.39,342.56,-2.45,-0.05
142,2,ball,OCCLUDED,32,63,0.3,557.08,449.48,-2.99,1.44
143,1,box,VISIBLE,141,0,0.566,218.8,342.61,-2.55,0.02
143,2,ball,OCCLUDED,32,64,0.289,554.09,450.93,-2.99,1.44
144,1,box,VISIBLE,142,0,0.5088,216.25,342.31,-2.55,-0.2
144,2,ball,OCCLUDED,32,65,0.278,551.11,452.37,-2.99,1.44
145,1,box,VISIBLE,143,0,0.5359,213.62,342.53,-2.6,0.1
145,2,ball,OCCLUDED,32,66,0.267,548.12,453.81,-2.99,1.44
146,1,box,VISIBLE,144,0,0.5349,211.09,342.16,-2.55,-0.24
146,2,ball,OCCLUDED,32,67,0.256,545.13,455.26,-2.99,1.44
147,1,box,VISIBLE,145,0,0.5951,208.56,341.99,-2.54,-0.19
147,2,ball,OCCLUDED,32,68,0.244,542.14,456.7,-2.99,1.44
148,1,box,VISIBLE,146,0,0.5341,206.49,341.08,-2.21,-0.69
148,2,ball,OCCLUDED,32,69,0.233,539.15,458.14,-2.99,1.44
149,1,box,VISIBLE,147,0,0.4493,205.22,341.76,-1.55,0.27
149,2,ball,OCCLUDED,32,70,0.222,536.17,459.59,-2.99,1.44
150,1,box,VISIBLE,148,0,0.4665,203.07,342.07,-1.97,0.3
150,2,ball,OCCLUDED,32,71,0.211,533.18,461.03,-2.99,1.44
151,1,box,VISIBLE,149,0,0.4963,200.55,342.38,-2.36,0.3
151,2,ball,OCCLUDED,32,72,0.2,530.19,462.47,-2.99,1.44
152,1,box,VISIBLE,150,0,0.5005,198.01,341.38,-2.48,-0.61
152,2,ball,OCCLUDED,32,73,0.189,527.2,463.92,-2.99,1.44
153,1,box,VISIBLE,151,0,0.5652,195.21,340.99,-2.71,-0.46
153,2,ball,OCCLUDED,32,74,0.178,524.21,465.36,-2.99,1.44
154,1,box,VISIBLE,152,0,0.5488,192.24,340.68,-2.89,-0.35
154,2,ball,OCCLUDED,32,75,0.167,521.23,466.8,-2.99,1.44
155,1,box,VISIBLE,153,0,0.461,188.98,341.44,-3.15,0.43
155,2,ball,OCCLUDED,32,76,0.156,518.24,468.24,-2.99,1.44
156,1,box,VISIBLE,154,0,0.4917,186.51,341.93,-2.67,0.46
156,2,ball,OCCLUDED,32,77,0.144,515.25,469.69,-2.99,1.44
157,1,box,VISIBLE,155,0,0.4875,183.9,340.94,-2.63,-0.55
157,2,ball,OCCLUDED,32,78,0.133,512.26,471.13,-2.99,1.44
158,1,box,VISIBLE,156,0,0.5266,181.31,340.64,-2.61,-0.38
158,2,ball,OCCLUDED,32,79,0.122,509.28,472.57,-2.99,1.44
159,1,box,VISIBLE,157,0,0.5056,178.78,341.13,-2.55,0.23
159,2,ball,OCCLUDED,32,80,0.111,506.29,474.02,-2.99,1.44
160,1,box,VISIBLE,158,0,0.5016,176.4,341.06,-2.43,0.02
160,2,ball,OCCLUDED,32,81,0.1,503.3,475.46,-2.99,1.44
