frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
84,1,box,0.8136,172.0,124.52,689.33,562.97,430.67,343.74,517.33,438.45,1,VISIBLE,-4.98,0.02
85,1,box,0.8179,164.52,124.07,685.84,563.41,425.18,343.74,521.32,439.34,1,VISIBLE,-5.33,0.0
86,1,box,0.8125,157.8,123.88,682.36,563.39,420.08,343.63,524.56,439.5,1,VISIBLE,-5.17,-0.07
87,1,box,0.8558,150.8,123.64,678.86,563.81,414.83,343.72,528.07,440.16,1,VISIBLE,-5.23,0.04
88,1,box,0.8706,144.0,123.34,675.22,564.16,409.61,343.75,531.22,440.82,1,VISIBLE,-5.22,0.03
89,1,box,0.8303,137.38,123.0,671.61,564.42,404.5,343.71,534.23,441.41,1,VISIBLE,-5.15,-0.02
90,1,box,0.7983,130.61,122.97,667.28,564.25,398.94,343.61,536.67,441.28,1,VISIBLE,-5.43,-0.08
91,1,box,0.7612,123.58,122.88,663.23,564.32,393.4,343.6,539.65,441.44,1,VISIBLE,-5.51,-0.03
92,1,box,0.722,117.18,122.72,660.18,564.7,388.68,343.71,542.99,441.98,1,VISIBLE,-4.96,0.07
93,1,box,0.7699,110.71,122.5,657.02,565.15,383.86,343.82,546.31,442.65,1,VISIBLE,-4.86,0.1
94,1,box,0.7527,104.52,122.28,653.56,565.43,379.04,343.86,549.04,443.14,1,VISIBLE,-4.84,0.05
95,1,box,0.7336,97.99,122.22,649.1,565.35,373.55,343.79,551.1,443.13,1,VISIBLE,-5.3,-0.03
96,1,box,0.7484,90.57,122.01,643.98,565.44,367.27,343.73,553.41,443.44,1,VISIBLE,-5.98,-0.05
97,1,box,0.7305,83.55,121.73,638.97,565.5,361.26,343.62,555.41,443.76,1,VISIBLE,-6.0,-0.09
98,1,box,0.7088,77.81,121.59,635.37,565.82,356.59,343.71,557.56,444.23,1,VISIBLE,-5.07,0.04
