frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
65,1,box,VISIBLE,65,0,0.9241,648.75,403.89,0.01,0.02
65,2,ball,OCCLUDED,39,26,0.711,494.45,479.43,3.62,-0.19
66,1,box,VISIBLE,66,0,0.9282,648.71,403.93,-0.02,0.03
66,2,ball,OCCLUDED,39,27,0.7,498.07,479.24,3.62,-0.19
67,1,box,VISIBLE,67,0,0.9263,648.72,403.92,0.0,-0.0
67,2,ball,OCCLUDED,39,28,0.689,501.69,479.06,3.62,-0.19
68,1,box,VISIBLE,68,0,0.9253,648.71,403.87,-0.01,-0.04
68,2,ball,OCCLUDED,39,29,0.678,505.3,478.87,3.62,-0.19
69,1,box,VISIBLE,69,0,0.9233,648.68,403.81,-0.02,-0.05
69,2,ball,OCCLUDED,39,30,0.667,508.92,478.68,3.62,-0.19
70,1,box,VISIBLE,70,0,0.9189,648.67,403.79,-0.01,-0.03
70,2,ball,OCCLUDED,39,31,0.656,512.54,478.49,3.62,-0.19
71,1,box,VISIBLE,71,0,0.9207,648.64,403.77,-0.03,-0.02
71,2,ball,OCCLUDED,39,32,0.644,516.16,478.3,3.62,-0.19
72,1,box,VISIBLE,72,0,0.9214,648.63,403.81,-0.01,0.02
72,2,ball,OCCLUDED,39,33,0.633,519.77,478.11,3.62,-0.19
73,1,box,VISIBLE,73,0,0.9216,648.62,403.84,-0.01,0.03
73,2,ball,OCCLUDED,39,34,0.622,523.39,477.92,3.62,-0.19
74,1,box,VISIBLE,74,0,0.9214,648.63,403.88,0.0,0.04
74,2,ball,OCCLUDED,39,35,0.611,527.01,477.73,3.62,-0.19
75,1,box,VISIBLE,75,0,0.9178,648.64,403.88,0.0,0.01
75,2,ball,OCCLUDED,39,36,0.6,530.63,477.55,3.62,-0.19
76,1,box,VISIBLE,76,0,0.9197,648.63,403.85,-0.0,-0.02
76,2,ball,OCCLUDED,39,37,0.589,534.24,477.36,3.62,-0.19
77,1,box,VISIBLE,77,0,0.92,648.63,403.85,-0.0,-0.01
77,2,ball,OCCLUDED,39,38,0.578,537.86,477.17,3.62,-0.19
78,1,box,VISIBLE,78,0,0.9184,648.63,403.84,-0.0,-0.01
78,2,ball,OCCLUDED,39,39,0.567,541.48,476.98,3.62,-0.19
79,1,box,VISIBLE,79,0,0.9184,648.63,403.79,-0.0,-0.03
79,2,ball,OCCLUDED,39,40,0.556,545.1,476.79,3.62,-0.19
80,1,box,VISIBLE,80,0,0.9216,648.65,403.83,0.01,0.01
80,2,ball,OCCLUDED,39,41,0.544,548.71,476.6,3.62,-0.19
81,1,box,VISIBLE,81,0,0.9234,648.66,403.9,0.01,0.05
81,2,ball,OCCLUDED,39,42,0.533,552.33,476.41,3.62,-0.19
82,1,box,VISIBLE,82,0,0.9253,648.65,403.98,-0.0,0.07
82,2,ball,OCCLUDED,39,43,0.522,555.95,476.23,3.62,-0.19
83,1,box,VISIBLE,83,0,0.9197,648.62,403.96,-0.02,0.01
83,2,ball,OCCLUDED,39,44,0.511,559.56,476.04,3.62,-0.19
84,1,box,VISIBLE,84,0,0.9156,648.55,403.94,-0.06,-0.01
84,2,ball,OCCLUDED,39,45,0.5,563.18,475.85,3.62,-0.19
85,1,box,VISIBLE,85,0,0.9137,648.51,403.88,-0.04,-0.04
85,2,ball,OCCLUDED,39,46,0.489,566.8,475.66,3.62,-0.19
86,1,box,VISIBLE,86,0,0.9315,648.92,403.84,0.28,-0.04
86,2,ball,OCCLUDED,39,47,0.478,570.42,475.47,3.62,-0.19
87,1,box,VISIBLE,87,0,0.9283,648.7,403.76,-0.07,-0.07
