frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
35,1,box,0.8998,424.62,269.54,869.42,538.29,647.02,403.91,444.8,268.74,1,VISIBLE,-0.02,0.0
35,2,ball,0.806,339.07,439.81,429.32,530.86,384.2,485.33,90.25,91.05,2,VISIBLE,6.69,0.02
36,1,box,0.9044,424.73,269.54,869.35,538.17,647.04,403.86,444.63,268.64,1,VISIBLE,0.01,-0.04
36,2,ball,0.5972,344.47,439.53,433.7,530.42,389.09,484.98,89.22,90.89,2,VISIBLE,5.43,-0.24
37,1,box,0.9027,424.82,269.53,869.43,538.16,647.12,403.84,444.61,268.63,1,VISIBLE,0.06,-0.02
37,2,ball,0.524,349.28,439.09,437.13,530.19,393.2,484.64,87.85,91.1,2,VISIBLE,4.51,-0.31
38,1,box,0.9021,424.78,269.54,869.36,538.13,647.07,403.83,444.58,268.59,1,VISIBLE,-0.02,-0.01
38,2,ball,0.4723,354.16,439.11,439.7,529.97,396.93,484.54,85.54,90.86,2,VISIBLE,3.96,-0.16
39,1,box,0.9005,424.66,269.42,869.32,538.04,646.99,403.73,444.66,268.62,1,VISIBLE,-0.06,-0.08
39,2,ball,0.3966,358.86,438.82,441.94,529.86,400.4,484.34,83.09,91.04,2,VISIBLE,3.62,-0.19
40,1,box,0.8935,424.81,269.67,869.44,538.25,647.12,403.96,444.63,268.58,1,VISIBLE,0.08,0.14
41,1,box,0.8224,424.71,269.83,869.43,538.38,647.07,404.11,444.72,268.55,1,VISIBLE,-0.02,0.14
42,1,box,0.8929,424.28,269.82,869.32,538.45,646.8,404.14,445.04,268.63,1,VISIBLE,-0.19,0.06
43,1,box,0.9138,424.27,269.62,869.62,538.38,646.95,404.0,445.35,268.76,1,VISIBLE,0.04,-0.08
44,1,box,0.9139,425.29,269.45,870.7,538.3,648.0,403.87,445.4,268.85,1,VISIBLE,0.75,-0.11
45,1,box,0.906,425.96,269.34,871.4,538.28,648.68,403.81,445.43,268.95,1,VISIBLE,0.7,-0.08
46,1,box,0.9088,426.19,269.31,871.54,538.29,648.86,403.8,445.35,268.97,1,VISIBLE,0.34,-0.03
47,1,box,0.9109,426.17,269.28,871.48,538.28,648.83,403.78,445.3,269.0,1,VISIBLE,0.07,-0.02
48,1,box,0.9112,426.08,269.35,871.57,538.54,648.83,403.95,445.49,269.19,1,VISIBLE,0.02,0.11
49,1,box,0.9157,426.05,269.42,871.41,538.58,648.73,404.0,445.35,269.16,1,VISIBLE,-0.06,0.07
50,1,box,0.9183,426.09,269.44,871.28,538.55,648.69,403.99,445.19,269.1,1,VISIBLE,-0.05,0.02
